Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
05:35,,Free Throw MISSED,,,," Free Throw MISSED by NCA&T's Powell, Duncan"
05:34,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Woods, Kam "
05:31,59-47,Jumper,,,," Jumper GOOD by NCA&T's Woods, Kam "
05:24,,Turnover,,,,"SBU Turnover by Pettway, Tanahj "
05:24,,Turnover,,,," NCA&T Steal by Horton, Demetric"
05:23,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Horton, Demetric"
05:21,,3 Pointer,,,, NCA&T gets a REBOUND from a dead ball.
05:21,,Subbing out,,,,"Subbing out for SBU - Onyekonwu, Toby "
05:21,,Subbing in,,,,"Subbing in for SBU - Roberts, Kaine "
05:21,,Foul,,,," Foul on NCA&T's Duke, Kyle"
05:21,,Turnover,,,," NCA&T Turnover by Duke, Kyle"
05:21,,Free Throw MISSED,,,,"Free Throw MISSED by SBU's Roberts, Kaine "
05:21,60-47,Free Throw,,,,"Free Throw GOOD by SBU's Roberts, Kaine "
05:21,,Free Throw,,,,SBU gets a REBOUND from a dead ball. 
04:56,,Layup MISSED,,,,"Layup MISSED by SBU's Policelli, Frankie "
04:53,,Offensive REBOUND,,,,"SBU Offensive REBOUND by Fitzmorris, Keenan "
04:53,62-47,Layup,,,,"Layup GOOD by SBU's Fitzmorris, Keenan "
04:38,,Foul,,,,"Foul on SBU's Pettway, Tanahj "
04:38,62-48,Free Throw,,,," Free Throw GOOD by NCA&T's Woods, Kam "
04:38,,Subbing out,,,," Subbing out for NCA&T - Duke, Kyle"
04:38,,Subbing in,,,," Subbing in for NCA&T - Watson, Marcus"
04:38,,Free Throw MISSED,,,," Free Throw MISSED by NCA&T's Woods, Kam "
04:37,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
04:33,,Turnover,,,,"SBU Turnover by Policelli, Frankie "
04:33,,Turnover,,,," NCA&T Steal by Elliott, Tyrese"
04:26,,Layup MISSED,,,," Layup MISSED by NCA&T's Watson, Marcus"
04:24,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Powell, Duncan"
04:23,62-50,Layup,,,," Layup GOOD by NCA&T's Powell, Duncan"
04:06,,Layup MISSED,,,,"Layup MISSED by SBU's Policelli, Frankie "
04:05,,Offensive REBOUND,,,,"SBU Offensive REBOUND by Policelli, Frankie "
04:04,,Foul,,,," Foul on NCA&T's Powell, Duncan"
04:04,63-50,Free Throw,,,,"Free Throw GOOD by SBU's Policelli, Frankie "
04:04,64-50,Free Throw,,,,"Free Throw GOOD by SBU's Policelli, Frankie "
03:56,,Layup MISSED,,,," Layup MISSED by NCA&T's Powell, Duncan"
03:53,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Stephenson-moore, Tyler "
03:51,,Turnover,,,,"SBU Turnover by Stephenson-moore, Tyler "
03:51,,Turnover,,,," NCA&T Steal by Elliott, Tyrese"
03:51,,timeout,,,,Media timeout 
03:41,,Turnover,,,," NCA&T Turnover by Watson, Marcus"
03:20,66-50,Jumper,,,,"Jumper GOOD by SBU's Policelli, Frankie "
03:20,,Assist,,,,"SBU Assist by Stephenson-moore, Tyler "
03:07,,Layup MISSED,,,," Layup MISSED by NCA&T's Watson, Marcus"
03:04,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Powell, Duncan"
03:02,,Foul,,,,"Foul on SBU's Policelli, Frankie "
03:02,66-51,Free Throw,,,," Free Throw GOOD by NCA&T's Powell, Duncan"
03:02,,Free Throw MISSED,,,," Free Throw MISSED by NCA&T's Powell, Duncan"
03:01,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Fitzmorris, Keenan "
02:42,68-51,Jumper,,,,"Jumper GOOD by SBU's Policelli, Frankie "
02:42,,Assist,,,,"SBU Assist by Stephenson-moore, Tyler "
02:31,,Foul,,,,"Foul on SBU's Roberts, Kaine "
02:31,68-52,Free Throw,,,," Free Throw GOOD by NCA&T's Woods, Kam "
02:31,68-53,Free Throw,,,," Free Throw GOOD by NCA&T's Woods, Kam "
02:25,,Foul,,,," Foul on NCA&T's Woods, Kam "
02:25,69-53,Free Throw,,,,"Free Throw GOOD by SBU's Pettway, Tanahj "
02:25,70-53,Free Throw,,,,"Free Throw GOOD by SBU's Pettway, Tanahj "
02:17,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Powell, Duncan"
02:14,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Roberts, Kaine "
01:51,72-53,Layup,,,,"Layup GOOD by SBU's Pettway, Tanahj "
01:43,72-56,3 Pointer,,,," 3 Pointer GOOD by NCA&T's Woods, Kam "
01:24,74-56,Layup,,,,"Layup GOOD by SBU's Policelli, Frankie "
01:24,,Assist,,,,"SBU Assist by Fitzmorris, Keenan "
01:15,,Foul,,,,"Foul on SBU's Pettway, Tanahj "
01:15,74-57,Free Throw,,,," Free Throw GOOD by NCA&T's Woods, Kam "
01:15,74-58,Free Throw,,,," Free Throw GOOD by NCA&T's Woods, Kam "
01:09,,Foul,,,," Foul on NCA&T's Elliott, Tyrese"
01:09,75-58,Free Throw,,,,"Free Throw GOOD by SBU's Roberts, Kaine "
01:09,76-58,Free Throw,,,,"Free Throw GOOD by SBU's Roberts, Kaine "
01:03,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Watson, Marcus"
00:59,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
00:36,,Jumper MISSED,,,,"Jumper MISSED by SBU's Fitzmorris, Keenan "
00:33,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Horton, Demetric"
00:27,76-61,3 Pointer,,,," 3 Pointer GOOD by NCA&T's Horton, Demetric"
