Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
11:23,,Subbing in,,,," Subbing in for NCA&T - Elliott, Tyrese"
11:09,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Woods, Kam "
11:09,,3 Pointer,,,,"SBU Block by Pettway, Tanahj "
11:06,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Onyekonwu, Toby "
10:46,,Turnover,,,,"SBU Turnover by Stephenson-moore, Tyler "
10:46,,Turnover,,,," NCA&T Steal by Woods, Kam "
10:34,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Robinson, Jeremy"
10:32,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Onyekonwu, Toby "
10:17,,Layup MISSED,,,,"Layup MISSED by SBU's Pettway, Tanahj "
10:15,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Powell, Duncan"
10:11,10-17,3 Pointer,,,," 3 Pointer GOOD by NCA&T's Elliott, Tyrese"
10:11,,Assist,,,," NCA&T Assist by Woods, Kam "
09:45,12-17,Jumper,,,,"Jumper GOOD by SBU's Stephenson-moore, Tyler "
09:45,,Assist,,,,"SBU Assist by Onyekonwu, Toby "
09:28,,Turnover,,,," NCA&T Turnover by Robinson, Jeremy"
09:28,,Subbing out,,,," Subbing out for NCA&T - Robinson, Jeremy"
09:28,,Subbing in,,,," Subbing in for NCA&T - Johnson, Austin"
09:28,,Subbing out,,,,"Subbing out for SBU - Pettway, Tanahj "
09:28,,Subbing in,,,,"Subbing in for SBU - Roberts, Kaine "
09:09,,3 Pointer,,,,"3 Pointer MISSED by SBU's Policelli, Frankie "
09:08,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Woods, Kam "
08:59,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Powell, Duncan"
08:58,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Onyekonwu, Toby "
08:48,,Foul,,,," Foul on NCA&T's Elliott, Tyrese"
08:48,,Subbing out,,,," Subbing out for NCA&T - Woods, Kam "
08:48,,Subbing in,,,," Subbing in for NCA&T - Horton, Demetric"
08:46,14-17,Jumper,,,,"Jumper GOOD by SBU's Policelli, Frankie "
08:46,,Assist,,,,"SBU Assist by Stephenson-moore, Tyler "
08:29,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Bettis, Love"
08:26,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
08:14,17-17,3 Pointer,,,,"3 Pointer GOOD by SBU's Policelli, Frankie "
08:14,,Assist,,,,"SBU Assist by Sarvan, Kenan "
07:51,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Powell, Duncan"
07:49,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Johnson, Austin"
07:48,,timeout,,,,Media timeout 
07:48,,Subbing out,,,," Subbing out for NCA&T - Powell, Duncan"
07:48,,Subbing in,,,," Subbing in for NCA&T - Watson, Marcus"
07:44,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Watson, Marcus"
07:41,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Onyekonwu, Toby "
07:18,,3 Pointer,,,,"3 Pointer MISSED by SBU's Sarvan, Kenan "
07:15,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Bettis, Love"
06:54,17-19,Layup,,,," Layup GOOD by NCA&T's Elliott, Tyrese"
06:54,,Assist,,,," NCA&T Assist by Horton, Demetric"
06:44,,Turnover,,,,"SBU Turnover by Roberts, Kaine "
06:44,,Turnover,,,," NCA&T Steal by Elliott, Tyrese"
06:43,,Foul,,,,"Foul on SBU's Roberts, Kaine "
06:43,17-20,Free Throw,,,," Free Throw GOOD by NCA&T's Elliott, Tyrese"
06:43,,Subbing out,,,," Subbing out for NCA&T - Bettis, Love"
06:43,,Subbing in,,,," Subbing in for NCA&T - Woods, Kam "
06:43,,Subbing out,,,,"Subbing out for SBU - Onyekonwu, Toby "
06:43,,Subbing in,,,,"Subbing in for SBU - Pettway, Tanahj "
06:43,17-21,Free Throw,,,," Free Throw GOOD by NCA&T's Elliott, Tyrese"
06:35,,Turnover,,,,"SBU Turnover by Roberts, Kaine "
06:19,,Turnover,,,," NCA&T Turnover by Watson, Marcus"
06:19,,Turnover,,,,"SBU Steal by Policelli, Frankie "
05:59,19-21,Layup,,,,"Layup GOOD by SBU's Stephenson-moore, Tyler "
05:41,,Foul,,,,"Foul on SBU's Pettway, Tanahj "
05:41,19-22,Free Throw,,,," Free Throw GOOD by NCA&T's Woods, Kam "
05:41,,Subbing out,,,,"Subbing out for SBU - Sarvan, Kenan "
05:41,,Subbing in,,,,"Subbing in for SBU - Fitzmorris, Keenan "
05:41,19-23,Free Throw,,,," Free Throw GOOD by NCA&T's Woods, Kam "
05:20,,Layup MISSED,,,,"Layup MISSED by SBU's Fitzmorris, Keenan "
