Name,Position,Minutes Played,Field Goals Made,Three Pointers Made,Free Throws Made,Total Rebounds,Offensive Rebounds,Assists,Personal Fouls,Steals,Turnovers,Blocked Shots,Points
KYLE FILIPOWSKI,C,30,0-6,0-1,0-2,6,1,1,3,0,5,1,0
DERECK LIVELY II,C,11,0-0,0-0,2-2,3,1,1,3,0,0,0,2
MARK MITCHELL,F,27,1-4,0-2,1-2,8,1,0,4,1,2,1,3
TYRESE PROCTOR,G,42,6-12,2-5,0-0,4,0,4,0,0,3,0,14
JEREMY ROACH,G,32,7-11,2-5,0-0,0,0,2,5,0,5,0,16
JAYLEN BLAKES,G,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0
JACOB GRANDISON,F,31,4-7,3-6,0-0,1,0,0,2,1,0,0,11
DARIQ WHITEHEAD,F,25,4-7,2-4,0-0,4,1,0,3,1,1,0,10
RYAN YOUNG,C,27,0-2,0-0,6-6,11,4,3,4,0,2,0,6
