score,time,visitorText,homeText
,06:33,,Layup MISSED by Georgia Tech's Deivon Smith
,06:33,,Layup MISSED by Georgia Tech's Rodney Howard
18-24,06:33,,
20-24,06:12,2 Pointer by Clayton St.'s Baqi Lecky,
20-24,05:43,Personal Foul on Clayton St.'s Kobie Johnson (Kyle Sturdivant draws the foul),
,05:43,,Free Throw MISSED  by Georgia Tech's Kyle Sturdivant
20-24,05:43,,Subbing out for Georgia Tech-Dallan Coleman
20-24,05:43,,Subbing in for Georgia Tech-Miles Kelly
20-24,05:43,Subbing out for Clayton St.-Baqi Lecky,
20-24,05:43,Subbing in for Clayton St.-Travis  Harper II,
20-25,05:43,,Free Throw  by Georgia Tech's Kyle Sturdivant
20-25,05:19,Turnover by Clayton St. 's Brian Coffey II,
20-25,05:15,Personal Foul on Clayton St.'s Bryce Weinmunson (Kyle Sturdivant draws the foul),
20-26,05:15,,Free Throw  by Georgia Tech's Kyle Sturdivant
20-26,05:15,Subbing out for Clayton St.-Brian Coffey II,
20-26,05:15,Subbing in for Clayton St.-Christian Chambers,
20-27,05:15,,Free Throw  by Georgia Tech's Kyle Sturdivant
22-27,05:05,2 Pointer by Clayton St.'s Ricardo Saams Jr.,
22-27,04:51,Personal Foul on Clayton St.'s Bryce Weinmunson (Lance Terry draws the foul),
22-27,04:51,,Subbing out for Georgia Tech-Rodney Howard
22-27,04:51,,Subbing in for Georgia Tech-Ja'von Franklin
,04:47,,Jumper MISSED by Georgia Tech's Miles Kelly
24-27,04:40,2 Pointer by Clayton St.'s Travis  Harper II,
24-29,04:30,,2 Pointer by Georgia Tech's Kyle Sturdivant
24-29,04:17,Turnover by Clayton St. 's Bryce Weinmunson,
24-31,04:13,,2 Pointer by Georgia Tech's Deivon Smith
26-31,04:00,Layup by Clayton St.'s Christian Chambers,
26-31,04:00,,Personal Foul on Georgia Tech's Miles Kelly (Christian Chambers draws the foul)
26-31,04:00,,Subbing out for Georgia Tech-Lance Terry
26-31,04:00,,Subbing in for Georgia Tech-Dallan Coleman
26-31,04:00,Subbing out for Clayton St.-Kobie Johnson,
26-31,04:00,Subbing out for Clayton St.-Bryce Weinmunson,
26-31,04:00,Subbing in for Clayton St.-Brian Coffey II,
26-31,04:00,Subbing in for Clayton St.-Wes Williams,
,04:00,Free Throw MISSED  by Clayton St.'s Christian Chambers,
,03:48,,2 Pointer MISSED by Georgia Tech's Miles Kelly
26-31,03:39,,Personal Foul on Georgia Tech's Miles Kelly (Christian Chambers draws the foul)
27-31,03:39,Free Throw  by Clayton St.'s Christian Chambers,
27-31,03:39,,Subbing out for Georgia Tech-Miles Kelly
27-31,03:39,,Subbing in for Georgia Tech-Jalon Moore
28-31,03:39,Free Throw  by Clayton St.'s Christian Chambers,
,03:26,,Jumper MISSED by Georgia Tech's Kyle Sturdivant
,03:07,2 Pointer MISSED by Clayton St.'s Ricardo Saams Jr.,
28-31,02:57,Personal Foul on Clayton St.'s Travis  Harper II (Jalon Moore draws the foul),
,02:56,,Free Throw MISSED  by Georgia Tech's Jalon Moore
28-31,02:56,,Subbing out for Georgia Tech-Kyle Sturdivant
28-31,02:56,,Subbing in for Georgia Tech-Tristan Maxwell
28-32,02:56,,Free Throw  by Georgia Tech's Jalon Moore
,02:30,2 Pointer MISSED by Clayton St.'s Brian Coffey II,
28-32,02:22,,Turnover by Georgia Tech 's Jalon Moore
30-32,02:15,2 Pointer by Clayton St.'s Travis  Harper II,
,01:55,,Jumper MISSED by Georgia Tech's Jalon Moore
32-32,01:31,2 Pointer by Clayton St.'s Brian Coffey II,
32-32,01:25,,Turnover by Georgia Tech 's Deivon Smith
,01:20,Jumper MISSED by Clayton St.'s Christian Chambers,
32-32,01:18,,Subbing out for Georgia Tech-Jalon Moore
32-32,01:18,,Subbing in for Georgia Tech-Lance Terry
32-32,01:18,Clayton St. takes a [short] time out.,
,01:02,Jumper MISSED by Clayton St.'s Brian Coffey II,
32-32,00:55,,Turnover by Georgia Tech 's Deivon Smith
34-32,00:53,Layup by Clayton St.'s Brian Coffey II,
,00:48,,Jumper MISSED by Georgia Tech's Dallan Coleman
,00:19,3 Pointer MISSED by Clayton St.'s Travis  Harper II,
34-32,00:19,,Subbing out for Georgia Tech-Deivon Smith
34-32,00:19,,Subbing in for Georgia Tech-Miles Kelly
,00:02,,Jumper MISSED by Georgia Tech's Tristan Maxwell
34-34,00:00,,Layup by Georgia Tech's Ja'von Franklin
34-34,00:00,End of 1st Half.,
